Rank,Major,Degree_Type,Early_Career_Pay,Mid_Career_Pay
22,Engineering Management,Master's,73600,116000
23,Materials Science & Engineering,Master's,71500,116000
24,Mechanical Engineering (ME),Master's,72900,116000
25,Economics,Master's,64900,115000
26,Physics,Master's,67700,115000
27,Systems Engineering,Master's,76700,115000
28,Information Systems (IS),Master's,67800,113000
29,Computer Information Systems (CIS),Master's,70700,110000
30,Information Technology Management,Master's,71100,110000
31,International Business,Master's,59200,110000
32,Statistics,Master's,71500,110000
33,Human Computer Interaction,Master's,81900,109000
34,Geotechnical Engineering,Master's,60800,108000
35,Information Security,Master's,74100,108000
36,Management Information Systems (MIS),Master's,70200,108000
37,Manufacturing Engineering,Master's,67100,108000
38,Structural Engineering (SE),Master's,62400,107000
39,Information Assurance,Master's,70100,105000
40,Organizational Development,Master's,55800,105000
41,International Relations,Master's,53300,104000
42,Physician Assistant Studies,Master's,88400,104000
43,Civil Engineering (CE),Master's,60900,103000
44,Construction Management,Master's,61500,103000
45,Marketing & Management,Master's,52500,103000
46,Psychiatric Mental Health Nurse Practitioner Studies,Master's,92800,103000
47,Civil & Environmental Engineering,Master's,61300,102000
48,Information Technology (IT),Master's,66000,102000
49,Adult Nurse Practitioner Studies,Master's,89900,101000
50,Cybersecurity,Master's,67800,101000
51,Integrated Marketing Communications,Master's,49600,101000
52,Marketing,Master's,54100,101000
53,Project Management,Master's,64600,100000
54,Supply Chain Management,Master's,63800,100000
55,Acute Care Nurse Practitioner (ACNP) Studies,Master's,93200,99900
56,Design,Master's,65300,99900
57,International Studies,Master's,50300,99900
58,Family Nurse Practitioner (FNP) Studies,Master's,89200,99500
59,Business & Marketing,Master's,58000,99000
60,Business Administration,Master's,57700,98500
61,Accounting & Taxation,Master's,57500,98400
62,Environmental Engineering,Master's,60200,98400
63,Information Security & Assurance,Master's,71300,98300
64,Chemistry,Master's,54700,98000
65,Mathematics,Master's,62300,97800
66,Nurse Midwifery,Master's,82100,97500
67,Biotechnology,Master's,57200,96900
68,Food Science,Master's,56900,96300
69,Operations Management (OM),Master's,64400,95700
70,Accounting,Master's,56900,94300
71,General Business,Master's,55600,93500
72,Microbiology,Master's,48700,93500
73,Pediatric Nurse Practitioner Studies,Master's,84500,93100
74,Organizational Psychology,Master's,55800,92600
75,Business Management,Master's,56800,92200
76,Environmental Management,Master's,55500,92200
77,Food Science & Technology,Master's,56400,91800
78,Master of Science in Nursing,Master's,81200,91800
79,Women's Health Nurse Practitioner Studies,Master's,82500,91600
80,Industrial Psychology,Master's,54600,91200
81,Accounting & Finance,Master's,56100,90900
82,Management,Master's,54300,90600
83,Health Care Administration,Master's,57100,89900
84,Geology,Master's,53600,89700
85,Industrial Design (ID),Master's,58100,89500
86,Nursing,Master's,81700,88800
87,Health Policy & Management,Master's,60700,87700
88,Marketing & Communications,Master's,48600,87700
89,Occupational Health and Safety,Master's,61500,87100
90,Epidemiology,Master's,55500,86700
91,Urban & Regional Planning,Master's,50600,86700
92,Physical Therapy,Master's,72800,85800
93,Digital Media,Master's,50100,85600
94,Leadership,Master's,51900,85400
95,Accounting & Business,Master's,52300,85200
96,Informatics,Master's,71200,85200
97,Linguistics,Master's,52300,85100
98,Public Policy Analysis,Master's,54500,85100
99,Organizational Leadership,Master's,52400,85000
100,Environmental Science,Master's,49500,84700
101,Human Resources Management (HRM),Master's,50100,83500
102,Biology,Master's,47800,82800
103,Speech-Language Pathology,Master's,62000,82300
104,Management & Leadership,Master's,58600,81900
105,Biochemistry (BCH),Master's,54400,81800
106,Occupational Therapy (OT),Master's,64300,81500
107,Human Resources (HR),Master's,50700,81300
108,Public Health (PH),Master's,52400,81100
109,Human Resources Development,Master's,54100,80900
110,Communication,Master's,48200,80700
111,Mass Communication,Master's,45500,80700
112,Architecture,Master's,46300,80600
113,Geographic Information Systems (GIS),Master's,51700,80500
114,Public Relations & Communication,Master's,47100,80000
115,Journalism & Mass Communication,Master's,43800,79500
116,Communication Sciences & Disorders,Master's,62300,79400
117,Organizational Management,Master's,51900,79400
118,Health Care Management,Master's,59700,79100
119,Speech Pathology,Master's,65600,78600
